review_group,Text,Label,tfidf_pred,bert_pred,manual_verdict
only_bert_correct,আমি তোমার ওই নগ্ন দেহের উষ্ণতা পেতে চাই। তোমায় কামে ভাসিয়ে দিতে চাই।,Sexual Aggression,Neutral,Sexual Aggression,
only_bert_correct,বাবা ছেলের দুষ্টুমি ভালোই লাগছে।,Neutral,Harassment,Neutral,
only_bert_correct,"প্রত্যেক ব্যক্তি তার কাজের সেই ফলই পাবে,যা সে নিয়্যত করেছে। (সহীহ বুখারী)",Neutral,Harassment,Neutral,
only_bert_correct,টার্গেট বিক্রম,Neutral,Harassment,Neutral,
only_bert_correct,আছে যেহেতু সে পরকাল বিশ্বাস করে না তাহলে তার বাবা মার বিয়ে দেখে নাই তাহলে সে তার বাবাকে কেমন করে বাবা ডাকে,Hate Speech,Harassment,Hate Speech,
only_bert_correct,বাংলা ছবির দর্শক দিনদিন কমে যাচ্ছে কারন হতে পারে। যে খানে যা লাগে তা দিতে পারেনা।,Neutral,Harassment,Neutral,
only_bert_correct,"যারা সাফা কবিরের বাপ মা তুলে গালাগালি করে, তার নামে গিবত, অপবাদ দিয়ে নিজের ইমানের পরিচয় দিচ্ছেন তারা দয়া করে নিজের ভুলের জন্য তার কাছ থেকে মাফ চেয়ে নিয়েন,নাইলে কিন্তু পরকালে আপনার ভোগান্তি আছে.....আরে ভাই তার ইমানে দুর্বলতা আছে ঠিক আছে আমরা চেষ্টা করতে পারি।সে আমাদের ধর্মের বোন।হয়তো সে ভুল পথে আছে।তাকে বোঝাতে পারি।আল্লহ তার প্রতি রহমত করেছেন যে তার কাফের অবস্থায় মৃত্যু হয়নি।আল্লহ তাকে হয়তো সুযোগ দিয়েছেন। এখন আমাদের দায়িত্ব তাকে ইসলামের সঠিক দাওয়াত দেওয়া।আর আল্লহর নিকট শুকরিয়া আদায় করা আমাদের ইমানের জন্য।ইনশাআল্লহ আমাদের চেষ্টাতো আল্লহ কবুলও করতে পারে।ভাই নবী(সঃ)চেষ্টা করেছেন কখনও জোর করেননি ।আর হেদায়েতের মালিক আল্লহ।দাওয়াত দেন তাকে মুসলিম বোন হিসেবে,আল্লহই তাকে হেফাজত করবেন ইনশাআল্লহ। আর না পারলে নিজের আখেতার সামলান আগে।.এক হাদিসে আছে, ‘কবিরা গুনাহগুলোর একটি হলো নিজের বাবা-মা’কে অভিশাপ করা।’ জিজ্ঞেস করা হল, আল্লাহর রাসুল! মানুষ নিজের বাবা-মা’কে কিভাবে অভিশাপ করে?’ তিনি বললেন, ‘যখন সে অন্যের বাবাকে গালি-গালাজ করে, তখন সে নিজের বাবাকেও গালি-গালাজ করে থাকে। আর সে অন্যের মা-কে গালি দেয়,",Sexual Aggression,Hate Speech,Sexual Aggression,
only_bert_correct,সেদিন রাতে যদি তোর বাপ মা ঘুমিয়ে যেতো তাহলে পদ্মা নদীর পিলারগুলো নিখোঁজ হতোনা >:(শোয়ালীর বেটি,Harassment,Sexual Aggression,Harassment,
only_bert_correct,এরা চলচিত্র শিল্পটাকে তামাসায় পরিনত করেছে।,Harassment,Neutral,Harassment,
only_bert_correct,আকাটা সোনা ভালো লাগছে তোমার,Sexual Aggression,Neutral,Sexual Aggression,
only_bert_correct,দুইটাই খুনি,Harassment,Neutral,Harassment,
only_bert_correct,হিরো আলম হিরো আলম ভাই আপনি যেখানেই থাকেন অবশ্যই আমার মেসেঞ্জারে আপনি কল দিবেন অবশ্যই আপনি আমাকে নাম্বারটা দিবেন কথা হবে কথা বলব দেখা করবেন শালা আপনার সাথে কাজ করব ইনশাল্লাহ,Harassment,Neutral,Harassment,
only_bert_correct,"আসলে হিরু আলামের কথায় রাইট,জায়েদ খান কোনো নায়ক নাকি,জায়েদ খানকে কয়জনে চিনে তার চেয়ে হিরু আলামকে অনেক বেশি চিনে সবাই।",Neutral,Harassment,Neutral,
only_bert_correct,"আপনাকে একজন আলেমের কাছে তওবা করতে হবে। সেই তওবা ভিডিও ধারণ করে ফেসবুকে ডাউনলোড করবেন। ও হ্যা এও তওবা করবেন আপনি আর এমন পাপ কাজে নিযুক্ত হবেন না, প্রতিদিন ৫ওয়াক্ত নামাজ আদায় করবেন। সাবানা,ববিতা, হ্যাপি থেকেও শিক্ষা নিতে পারেন। অগ্রিম ধন্যবাদ। আল্লাহ আপনাকে বুঝার তৌফিক দেওয়ার জন্য।",Sexual Aggression,Neutral,Sexual Aggression,
only_bert_correct,"জানোয়ার, কাফের,কাফের,কাফের",Harassment,Hate Speech,Harassment,
only_bert_correct,"তুমি মিয়া আবার আল্লাহ নাম মুখে নাও লজ্জা সরম নাই?আল্লাহ ক্ষমাশীল,দয়াবান বলেই কি তোমার মত নাস্তিকদের ছেড়ে দিবেন?একবার বল পরকালে বিশ্বাস কর না আবার নাটক করতে আসছো..তোমার পাশে যে ফালতু rj ছিলো ওই মেয়েটা কে?স্পষ্ট শুনতে পেয়েছি মেয়েটি বলতেছে বৈশাখের পান্তা ইলিশ খেয়ে নাকি ওল্টা পাল্টা প্রশ্ন করছে।এটা কোন ধরনের বেয়াদবি? ওই বেয়াদব টা কে?আজকে তোমাকে জুতা মারবে কালকে তোমাকে স্যালুট করবে এমন মানুষ আছে বোন Safa Kabir..দুনিয়া মাত্র শস্যক্ষেত্র আর আখিরাত বা পরকাল হচ্ছে আমাদের আসল ঠিকানা। মানুষ মরণশীল। বোন তোমাকে গালিগালাজ করতে আসি নি। খারাপ লাগছে অনেক কথাটা শুনে। যাক ভালমন্দ বলে থাকলে ক্ষমা করে দিও বোন।ধন্যবাদ",Violent Extremism,Harassment,Violent Extremism,
only_bert_correct,আজকে ডেলে দিতে মন চাইতেছে,Harassment,Neutral,Harassment,
only_bert_correct,"দুই দিনের তথাকথিত 'সেলিব্রেটি' হয়ে এই মহিলা ধরাকে সরাজ্ঞান করতেসে।অার এখনকার ট্রেন্ড ফলো করা হুজুগে পোলাপানগুলাও এই ধরনের ফাউল পাব্লিকদের ফলো করে স্রোতে গা ভাসাচ্ছে!বিলিভ মি,অাপনার মতো মানুষগুলার জন্য মন থেকে করুণা ছাড়া অার কিছুই অাসে না।অাল্লাহ অাপনাদের হেদায়াত দান করুন।",Harassment,Sexual Aggression,Harassment,
only_bert_correct,খানকিমাগী বৈশাখ চোদাও না তোমার হোগা দিয়ে কচুর শাক............ বৈশাখ না বল কচু শাক যা আমি তোর পাছা দিয়া....... যত্তসব নাস্তিক,Hate Speech,Sexual Aggression,Hate Speech,
only_bert_correct,কেয়ামত খুব নিকটে।আপনি তার জীবন্ত উদাহরণ।,Hate Speech,Neutral,Hate Speech,
only_bert_correct,মাগি নাস্তি হয়ে গেলি,Sexual Aggression,Hate Speech,Sexual Aggression,
only_bert_correct,"জায়দে তুই কেডা রে?. কবে অাসছোস বাংলা চলচিএে। জীবন তো নাম তো দুরে থাক তোর একটা ছবি নামও শুনি নাই।হাহাহা অাবাল চোদা।৯৬ পর অার কোন বাংলা ছবি দেখি নি।শালমান শাহ মারা যাবার পর।যাইহোক,জনাব জায়েদ যতই বড় বড় কথা বলেন অাপনারাও হিরো অালমের জনপ্রিয়তার ধারে কাছে ও নাই।",Sexual Aggression,Harassment,Sexual Aggression,
only_bert_correct,সারা বিশ্বের মানুষ চিনে.....!,Neutral,Harassment,Neutral,
only_bert_correct,মুরগী চোরের লুচ্চা মেয়ে ইংরেজদের চোদা তাই ইংলিশ ছাড়া কথাই বলতে পারেনা।,Sexual Aggression,Harassment,Sexual Aggression,
only_bert_correct,ঠিক মত কথা বলতে পারেনা জিরো আলম।,Harassment,Neutral,Harassment,
only_bert_correct,হ্যা ওতেই হবে,Neutral,Harassment,Neutral,
only_bert_correct,হেতিরে,Harassment,Neutral,Harassment,
only_bert_correct,এতের কি দোষ,Neutral,Harassment,Neutral,
only_bert_correct,আগে মুভিদেখে মানুষ মজা পেতো এখন হিরো আলমের মতো নায়ক থাকলে মজাতো দুরে থাক মানুষ মুভি দেখার কথাও ভুলে যাবে।কি বলেন।,Neutral,Harassment,Neutral,
only_bert_correct,"জাস্টিন বিবারের চামচা, বিবারের কপিবাজ,",Harassment,Neutral,Harassment,
only_tfidf_correct,কি যে খাচ্ছে মেয়েটা কে জানে দিন দিন শুকিয়ে যাচ্ছে,Neutral,Neutral,Harassment,
only_tfidf_correct,সাবান দিয়া ডলা দেইস Azhar Ahmed Nisho,Neutral,Neutral,Harassment,
only_tfidf_correct,ধন্যবাদ জনাব হিরো আলম আপনার এই সাহসি বক্তব্য দেওয়ার জন্য। এইসব অশিক্ষিত ও অপদার্থ গুলার জন্য আজকে চলচিত্রের এই অবস্থা।,Neutral,Neutral,Harassment,
only_tfidf_correct,"কবির আপ্পু,,, আপনিতো পরকাল বিশ্বাস করেন্না। তাহলে ভাইরাসকে কেন বিশ্বাস করেন?",Hate Speech,Hate Speech,Sexual Aggression,
