Text,Category,Gender,Comment React Number,Label
আপনার জন্ম প্রক্রিয়ার সময় আপনার মায়ের ভিতর কি আপনার বাবা হুমায়ুন কবিরের শুক্রাণু ঢুকে ছিল না অন্য কারো । তাইলে আপনি কেম্নে শিউর হইলেন উনিই আপনার বাবা। কারণ ওই কাজের সময়ে তো আপনি দেখেননি।আপনাকে জারজ বা জাউরা বললে কি ভুল হবে? পাক্নামি ছাইড়া দিয়া অভিনয়টা ভাল করে করেন।আমাগো আমজনতারে এইসব শুনাইয়েন না।,Actor,Female,0,Sexual Aggression
ধজভংগ দের আর ভায়াগ্রা লাগবো না। ধংস হোক এই সব কুলখানকিরা।,Actor,Female,0,Sexual Aggression
"আজকেই জানলাম, অরেন্জ, গ্রেইপ্স একটি ভেজিটেবল",Actor,Female,1,Neutral
"হিরো আলমের দেয়া বিনোদন ব্যক্তিগতভাবে আমার একটুও পছন্দ না; একদমই ঠুনকো হালকা বিনোদন। এটি আমার ব্যক্তিগত স্বীকারোক্তি। কিন্তু আসিফ নজরুল,জাফর ইকবাল,  আনিসুল হকরা হিরো আলমকে নিয়ে বড় বড় ফিচার লেখে। আমার জানামতে, জায়েদ খান নামক নায়ক কে নিয়ে কেউ কোনোদিন কথা বলেছে -শুনিনি। বলতে দ্বিধা নেই- হিরো আলম এই নাম টি বাংলাদেশের অনেকেই জানে । হিরো আলমের কর্মকাণ্ড অনেকের কাছে জনপ্রিয় না হলেও তার নামটা কিন্তু অনেক জনপ্রিয়। সে দিক থেকে জায়েদ খান তার ধারে কাছেও না। তাচ্ছিল্য কোন ভদ্রলোকের আচরণ না।",Social,Male,0,Harassment
বোকাচোদা একটা।,Singer,Male,0,Sexual Aggression
বাহ! প্রথমে তো চিনতেই পারিনি,Sports,Female,0,Neutral
বিবাহ করিতে চাইনা এবং angels  দেখেছি। বাকিগুলিও দেখব। ,Singer,Male,9,Neutral
তোর দেশে ফেরার অপেক্ষায় রইলাম। জেলে একটা কামরা বুক করে রাখা থাকল।,Social,Female,1,Sexual Aggression
হক কথা । সাবাস ।,Sports,Male,0,Neutral
বাংলাদেশ ফেসবুক ইজ বিনোদন,Actor,Female,0,Sexual Aggression
অবশ্যই ছোট & ছেলে মেয়েকে ইসলামের শিক্ষা বাদ্যতামুলক@আফসার ভাইকে ধন্যবাদ,Actor,Female,0,Hate Speech
তুই কই থেকে এসেছ সেটা কি জানিস?সেটাকি দেখেশিস?তাহলে তর মা&বাপের বিয়ের বড়যাত্রা তুই এটেন্ড করেছিলে?যেমন গাছ তেমন ফল?এইগুলিরে জুতা পিটা করা উচিত?,Actor,Female,0,Violent Extremism
চোরের মার বড় গলা ।,Social,Female,0,Harassment
ওই মহিলা এসব বলসে যাতে দেশে অনেক তোলপাড় হয় আর সে এসব দেখিয়ে রাজনৈতিক আশ্রয় চাইতে পারে,Social,Female,1,Harassment
"ঐ মহিলা খুবই চালাক এবং ধুরন্ধন। কিন্তু সে একা এসব করছে না, তার সাথে আরো অনেক জড়িত। এসব রাজাকারের সংখ্যা আমাদের দেশে কম নয়। ওরা দেশের সব সুযোগ সুবিধা ভোগ করে এবং গোপনে দেশ বিরোধী কাজ লিপ্ত থাকে।",Social,Female,1,Harassment
শ্রদ্ধেয় ড. কামাল হোসেন সাহেব আর যাই হোক একজন শিবির কর্মী আর আরেকজন উশৃংখল ও টাকা পাচারকারীর পক্ষ অবলম্বন করে ভাবমূর্তি খোয়ালেন!,Politician,Male,0,Neutral
"এই ম্যাচটা আসলেই দুর্দান্ত ছিলো।অনেক কাঠ-খর পুড়িয়ে এই ম্যাচ দেখতে গিয়েছিলাম ট্রিনিদাদ এন্ড টোবাগো-তে।আমি যখন মাঠে ঢুকি, সেই মুহুর্তেই দেখলাম ম্যাশের বলে শেহবাগ আউট!আর ব্যাটিঙ্গে তো জহীর খান-কে ডাউন দ্য উইকেটে এসে তামিমের ৬ মারা এখনো চোখে লেগে আছে।সেই ম্যাচের টিকিটের ছবিhttps://www.facebook.com/photo/?fbid=7230670249&set=a.7230480249ম্যাচের মুহুর্তhttps://www.facebook.com/photo/?fbid=7230735249&set=a.7230480249ম্যাচের পরের দিন মুশফিকের সাথে ছবিhttps://www.facebook.com/photo/?fbid=7230930249&set=a.7230805249",Sports,Male,2,Neutral
পরোক্ষ হুমকী???,Sports,Male,3,Neutral
"এই মেয়ে অন্য এক ইন্টারভিউতে বলেছে, যাকে চোখে দেখে না তাকে বিশ্বাস করেনা। অর্থাৎ তিনি নাস্তিক। সে আবার তার অবিশ্বাসের ধর্ম ইসলাম ধর্মের রোজা কেন রাখে? এটাকি একটা mockery?",Actor,Female,0,Hate Speech
নাস্তিককে দোয়া আবার কি?,Actor,Female,0,Hate Speech
কি লেখা আছে সেইটা না পইড়াই সবাই তেলের সাগরে ভাসায় দিতাছে.. ভাইসব আগে পড়েন অই লিনকে কি লেখা আছে তারপর তেল মাইরেন,Politician,Male,0,Neutral
"আগে নবীদের উপর ওহী নাজিল হইতো। আর আজকাল এ যুগের আত্রা ফাতরা যে কেউ যদি ধর্মের বিরুদ্ধে কিছু বললো তো অচিরেই সে নাস্তিকগণের নবীতে পরিণত হয়। কিছুদিনের মধ্যে তার মুখ নিঃসৃত যে কোন কথার মধ্যে এমনকি বায়ু ত্যাগ করলেও তার আওয়াজে এক দার্শনিকতা আবিষ্কার করা হবে।তারপর আকাশে বাতাসে তার বাণী সমূহ উড়তে থাকবে। যেমনঃ আসাদ নূরের মতো এক লম্পট, অশিক্ষিত লোকও নাস্তিকদের কাছে হঠাৎ করে দার্শনিক হয়ে গেলেন। ওরে বাবা, মিনিটে মিনিটে আসাদ নূর নামক দার্শনিকের সম্মুখভাগ, পশ্চাৎদিক যেখান থেকেই কিছু নির্গত হলো তাই মানব কল্যাণের দিকদর্শন বলে প্রচারিত হলো। তারপর যখন এই মনীষীর নারী ঘটিত কেলেঙ্কারি বের হলো তখন রাতারাতি এই মনীষী হারিয়ে গেলেন।যাই হোক, আসাদ নূর গেলেও তার প্রতিনিধি বছরে বছরে আসে। আমাদের নতুন দার্শনিক এসে পড়েছেন।নাস্তিকগণ এখন তারে নিয়ে ফাল্লাবে আর মুমিনগণ ও তারে মুরতাদ ঘোষণার জন্য ফাল্লাবে। কে যে বেশি ফাল্লাবে সেটাই দেখার বিষয়।",Actor,Female,4,Hate Speech
"আপনি তো আল্লাহ কে বিশ্বাস করেন না তাই আপনার মুখে এইসব কথা সোভা পায়না, নিজের কথা ভাবেন, আপনি নিজেই বলেছেন যা আপনি নিজে চোখে দেখেন না তা আপনি বিশ্বাস করেন না, করনা ভাইরাস কি আপনি নিজে চোখে দেখেছেন? না দেখে কেন এর উপর বিশ্বাস করে মানুষ কে সচেতন করছেন?আসলে আপনাদের মতো কিছু বাজে ফালতু মেয়েদের জন্য আজ এই অবস্থা, আপনার মৃত্যুর পর যেন আপনার জানাযা টা যেন না হয় আপনার পরিবার কে বলে রাখবেন,কারন আপনি তো এসব বিশ্বাস করেন না,আপনার লজ্জা হওয়া উচিত, সব মানুষ কি কি কমান্ট করেছে দেখেন",Actor,Female,46,Harassment
"বাল, হয় বাংলায় ক নাইলে ইংরেজীতে",Actor,Female,3,Harassment
আরেকটা বাংরেজি পণ্ডিত বের হইসে... পুরাই ফাউল,Actor,Female,0,Harassment
ক্ষমা করার মালিক উপরওয়ালা। উনি ক্ষমা করে দিলে  সাধারণ মানুষের কিইবা করার আছে??? ৯০ ভাগ মুসলমানের দেশে স্পর্শকাতর বিষয় নিয়ে কথা না বলাই সঙ্গত বিশেষ করে সেলিব্রেটিদের। এটা পাশ্চাত্যের কোন দেশ নয়।,Actor,Female,0,Sexual Aggression
তাকে জিজ্ঞাসা করেন ' আসিফ মহিউদ্দিন ' এর অর্থ কি ? সে বলল তার কো ন সৃষ্টিকর্তা নাই। তাহলে এই নাম ধারন করে আছে কেন ?  এটা তার ভন্ডামি নয় ?,Social,Male,13,Hate Speech
করোনা যুদ্ধের প্রথম শহীদ ! ,Sports,Male,78,Neutral
বিশ্বকাপ জয়ের মাধ্যমেই এই বৃত্ত পূর্ণ হবে ইনশাআল্লাহ ! ,Sports,Male,20,Neutral
ওর চোখের মনিতে গোল গোল ঐটা কি ? কন্ট্রাক লেন্স ?,Actor,Female,0,Neutral
মাশআল্লাহ,Actor,Male,0,Neutral
সে ভোট ডাকাত সরকারের এজেন্ট,Social,Female,0,Violent Extremism
"তুই বুঝস, পরকাল কি? আগে পড়াশুনা কর, তারপর পান্ডিত্য ফলা! শালা, অশিক্ষিত!",Actor,Female,0,Harassment
খুব সাহসের সাথে সরল সত্যটি উচ্চারণ করেছেন বলে আপনাকে অনেক অনেক ধন্যবাদ।,Actor,Female,0,Neutral
কি সাকিব ভাই ইনডাইরেক্ট থ্রেট দিলেন মনে হয়?! কেউ কিছু বলছে আপনারে নিয়া?! ,Sports,Male,0,Neutral
শুভ কামনা নিরন্তর।,Singer,Female,1,Neutral
আলহামদুলিল্লাহ। এ সজীবতা নিয়ে সুস্থ্য ও নিরাপদে থাকুন এ দোয়া করি।,Singer,Female,1,Neutral
আলহামদুলিল্লাহ।,Singer,Female,0,Neutral
"আমি বুঝলাম না যে DW (বাংলা ভাষা) এর সাংবাদিকতা এতো poor ও নিম্নমানের কেন? Asif সাহেব কি সবজান্তা শমসের যে আমাদের তাঁকে question জিজ্ঞেস করতে হবে? বরং Asif সাহেব প্রশ্ন করুক এবং যারা সুন্দরভাবে answer দিতে পারে, তারা answer দিক। DW (বাংলা ভাষা) এই conversation এর moderator হতে পারে। এই idea আসে না কেন আপনাদের মাথায় যে QA টা both side থেকে হলে fair হয়। তারপরেও দেখি কিছু প্রশ্ন করি, after all, DW (বাংলা ভাষা) এর কাছ থেকে মনে হয় unbiased সাংবাদিকতা আশা করা বোকামি।",Social,Male,2,Neutral
ভক্তদের ভালবাসায় মাশরাফি ভাই ২০২৩ বিশ্বকাপ পর্যন্ত খেলে যাবেন এই প্রত্যাশা...,Sports,Male,0,Neutral
ওকে দুনিয়া থেকে বহিস্কার করার জন্য সরকারের প্রতি অনুরোধ রহিল। দেশের শত্রুদের এটাই সঠিক প্রাপ্য।,Social,Female,1,Harassment
"পরজনমে অপ্সরীর সংখ্যা এইজনমে নাস্তিকদের ফেবু প্রোফাইলে প্রদত্ত গালির সংখ্যার সমানুপাতিক, জানেন না?",Actor,Female,1,Hate Speech
হা হা হা,Politician,Female,0,Neutral
জাতীয় বিপ্লব ও সংহতি দিবস?????,Politician,Female,0,Neutral
সিকি ?? কেউই করে ?? তসলিমার মতো সবসময় চাপাতির তলায় থাকা কয়েকজন না-মুসলিম কে বাদ দিলে ??,Social,Female,3,Hate Speech
আপনি ক্ষমা চেয়েছেন। এটাই বড় কথা।ক্ষমা করার মালিক আল্লাহ।আমি একজন মুসলমান হিসেবে ক্ষমা করে দিচ্ছি আপনাকে।আমি মনে করি সকলেরই উচিত উনাকে ক্ষমা করে দেয়া।,Actor,Female,5,Sexual Aggression
ছবি তুলে পোষ্ট করা ছাড়া আর কোন কাম কাজ নাই!,Actor,Female,0,Neutral
"সাফা কবির কোন **** বাল...??,",Actor,Female,0,Harassment
ছাগল  ছাগী,Social,Female,0,Harassment
ঐ দেহ তোমার একদিন কাল হবে।,Actor,Female,0,Harassment
সাহস সবার থাকেনা। নিজের মতামত সবাই তুলে ধরতে পারেনা।,Actor,Female,0,Neutral
"যারা বাজে কমেন্ট করছেন তাদেরকে বলি,,, আপনারা কেনো নিজের মুখ নষ্ঠ করছেন???? কোন কুলাঙ্গার যদি পরকাল না মানে তাতে তো কারো কোন ক্ষতি হবে না,,,,মৃত্যুর পরে বাম্বু গেলে নিজেই টের পাবে,,,কি যে মজা স্টাইল এমনিতেই ঢুকে যাবে,,,,ধন্যবাদ",Actor,Female,0,Neutral
শাহাদাত জুলাস আমি মাইয়্যা লোকের প্যান্ট নিয়ে কি কবরো :/ :/ কিন্তু প্যান্ট আসলে কোথায়..????,Actor,Female,4,Hate Speech
অস্থির হইছে। কিন্তু ডিমান্ডিং হয় নাই। এই পোজটা ক্লিভেজ ডিমান্ড করে।,Actor,Female,1,Neutral
বরিষায় পুর্নিমার দেখা পাওয়া দুস্কর তাই ব্যাকাপে আছি,Actor,Female,0,Neutral
ওরে বাটপার আর কয়েকটা দিন আপেক্ষা কর দেশের মানুষ তোমাদের লেংটা কর পিটাবে ।,Politician,Male,0,Harassment
"এসব কুতর্ক ছাড়ুন। ধর্ম হলো বিশ্বাসের ব্যাপার। কোনো যুক্তি বা বিজ্ঞান দিয়ে ধর্ম বিশ্বাস তৈরি করতে পারবেন না কিংবা সে বিশ্বাসকে বাঁচাতেও পারবেনা। যেমন, আপনি পিতার পরিচয় নিয়ে যে কুযুক্তি দিলেন — তার পাল্টা কুযুক্তি হলো — ডিএনএ পরীক্ষা করে আপনি পিতার পরিচয় নিশ্চিত হতে পারবেন। কিন্তু পরকালের ব্যাপারে নিশ্চিত হওয়ার জন্য এমন কোনো পরীক্ষা আছে কি? যিনি বিশ্বাস করেন এবং  যিনি করেন না — কারো জন্যই নেই। তাই এধরনের বাজে তর্ক করে সময় এবং শক্তির অপচয় না করাই ভালো।",Actor,Female,0,Hate Speech
"কেউ যদি অবিশ্বাসী হন, আল্লাহ তায়ালা তার শাস্তি বিধান করবেন। ধর্ষকামী মোল্লারা ক্ষেপেছেন কেন? সুন্দরী মেয়েটাকে নাগালের মধ্যে না পাওয়ায় আক্ষেপে গালাগাল করেই মনের সুখ মিটিয়ে নিচ্ছেন নাকি!",Actor,Female,1,Neutral
"জুতা দিয়ে তোমার গালে মারা উচিত, আবাল বক্তব্য দিয়ে এখন বাঁচার চেষ্টা। মিথ্যুক একটা। নিশিত ওর পিছনে কোন শক্তি আছে যার জন্য এসব বলেছে।মিন্টু রোডের রিমান্ডে নিয়ে গরম ডিম ডোকালে সব বের হয়ে আসবে। সাম্প্রদায়িক দাঙ্গা লাগানোর একটা অপচেষ্টা।",Social,Female,1,Violent Extremism
"যে মানুষ ভুল করে অনুতপ্ত হয়ে আল্লার কাছে ক্ষমাপ্রার্থী হন তাকে তো আল্লাও ক্ষমা করেন। আর আমরা তো মানুষ। মানুষ মাত্রই সে ভুল করবে। সে তার পাপ ধুয়ে হয়তো আরও ভালো মানুষ হয়ে যাবে। আমরা তাকে একটিবার ক্ষমা করতেই পারি, পারি না?? হয়তো এরপর আমরা সুন্দর আরেক সাফাকে পাবো। সবার জীবন সুন্দর হোক।",Actor,Female,1,Harassment
নিজের Review বারানোর জন্যই জতো সব নাটক?  ফালতু......,Actor,Female,0,Sexual Aggression
ফালতু মেয়ে৷,Actor,Female,1,Harassment
আমার মনে হয় বড় অংশ ভুট দিতে যাবে না বললে ভাল হত,Politician,Male,2,Neutral
হবিগঞ্জ জেলা বিএনপি র ব্যর্থ আহবায়ক কমিটি বাতিল করে  কাউন্সিল চাই।,Politician,Female,1,Neutral
অন্য কারো তবে শাহরিয়ার কবিরের নয় সেটা আমি ১০০% কনফার্ম।,Actor,Female,2,Neutral
নাস্তিকের বাচ্চা নাস্তিক! জাহান্নামের কিট।,Actor,Female,0,Hate Speech
শুকরে চিনে কচু।,Politician,Male,0,Harassment
"আপনাদের সকলের কাছে একটা বিষয়ে অনুরোধ-দয়াকরে এই মহিলা কিংবা ওনাদের মত ধর্ম ফ্যাসাদকারীদের নিয়া আর কোন নতুন নিউজ তৈরি করবেন না,,,কেননা এরা টেররিস্টদের হইতে অধিক ভয়ানক,,,, যে কোন শান্তিপূর্ণ স্থানের বুকে এরাই অশান্তি সৃষ্টিকারী।",Social,Female,0,Sexual Aggression
"ধর্ম বিষয়টা সবাই ঠিকভাবে বুঝে না। আমরাও অনেকেই সন্দেহের মধ্যে থাকি। আবার নামায, রোযা, হজ্ব করি। কিন্তু পুরো বিশ্বাস থাকলে আমরা তো এত হানাহানি,দূর্নীতি, অপশাসন,অনিয়ম করতাম না। আবার পারিবারিক ভাবে সে জ্ঞান না পেলে কিভাবে আমরা আখিরাত বুঝব?ইসলামে পুরোপুরি প্রবেশ করতে হয়।আধা বিশ্বাসে মন্জিলে মাকসুদে পৌছা যায় না।আখিরাত চিরন্তন। এটা বললেই হবে না। দৃঢ়ভাবে বিশ্বাস করতে হবে। তবে সে বুঝতে পারলে নিঃসন্দেহে এ কথা বলত না। গালিগালায,নাস্তিক না বলাই ভাল। বিচারটা তারই স্রষ্টা মহান আল্লাহকে করতে দিন।আল্লাহ আমাদের হেদায়েত দিন,বুঝার তৌফিক দিন।",Actor,Female,6,Hate Speech
"ধন্যবাদ আপনাদের!! দারুন কিছু মুহুর্ত উপহার দিলেন!! কনটেন্ট এর এতো বৈচিত্রতার মাঝে কখনোই টানা এতক্খন specific কোন একটাতে নীরবচ্ছিন্ন ভাবে সেঁটে থাকিনি, এখানে যেভাবে শেষঅব্দি লেগে ছিলাম!!",Sports,Male,0,Neutral
দৌড়টা ভালো ছিল ,Singer,Male,0,Neutral
এইসকল নাস্তিক ভাইদের কাছে একটা প্রশ্ন ? আপনাদের বিখ্যাত নাস্তিকদের মৃত্যুর পর জানাজা/কবর ইসলামিক শরীয়ত মোতাবেক কেন করেন ? যেহেতু তারা ইসলাম মানেন না তাই তাদের উচিত তাদের লাশ মমি কইরা রাখা,Actor,Female,0,Hate Speech
"এই নাস্তিকের শরীরে আমি শত ভাগ নিশ্চত যে কোরোনা ভাইরাস আছে ,,তাকে সরকারী আইসোলেশনে রেখে এডভান্স মরণ ইনজেকশন পুশ করা হোক,, এদের মত হাই প্রোফাইল মাগিদের জন্য ই আল্লাহ কোরোনা ভাইরাস দিয়েছে",Actor,Female,22,Hate Speech
ভাই আফনে যুদি ছেলিবিটির ভাষা না বুঝেন সেইডা কি ছেলিবিটির দোষ? এই বাল্ডারে আফনে গালি দিতাছেন ক্যান?,Actor,Female,2,Harassment
করে সাবসকারইব করছি সুধু হাসার জন্য....মানদের নাতি।,Social,Male,0,Neutral
তরে করোনা খুজতাছে।,Social,Male,0,Harassment
"কুত্তা ঘি খায়না, এইটা নিয়ে সংবাদ প্রকাশ করার কোন দরকার আছে?",Actor,Female,3,Harassment
"আমাদের কত ভাগ্য যে আমরা শেষ নবী করীম (সঃ) এর উম্মত হয়ে জন্মগ্রহণ করেছি! তা সত্ত্বেও এখনকার ইয়াং জেনারেশন নাস্তিকতাটাকে ফ্যাশন হিসেবে গ্রহণ করছে। চেষ্টা করছে নিজেকে স্বঘোষিত নাস্তিক ঘোষণা করে সবার আলোচনা,সমালোচনার শীর্ষে আসার। সেইসাথে প্রমাণ করার চেষ্টা করছে যে তারা মুক্তমনা,আমাদের থেকে আলাদা, আমাদের থেকে স্মার্ট। ধর্মভক্তিটাকে তারা ধর্মান্ধতা বলে মনে করে। নাউজুবিল্লাহ।‌",Actor,Female,1,Hate Speech
এক পায়ে নুপুর,Singer,Female,1,Neutral
আলহামদুলিল্লাহ!  ঈদ মোবারক!,Actor,Male,0,Neutral
সব দেখা শেষ। :),Singer,Male,0,Neutral
আল্লাহ দাদিকে বেহেশত নসিব করুন,Singer,Female,0,Neutral
হেফাজত মানে সেক্স করা ...হা হা হা৷,Social,Male,2,Hate Speech
তোরে জুতা পিডা দিয়া হোয়াইট হাউসের বুয়া বানাই দেয়া উচিত!,Social,Female,0,Violent Extremism
অনেক সুন্দর হয়েছে ,Actor,Female,3,Neutral
কোনটা ছেড়ে কোনটা রাখি...।  অসাধারণ ........অসাধারণ ..............।।তিশার তুলনা আমার কাছে শুধুই তিশা...............।,Actor,Female,1,Neutral
টেক কেয়ার,Actor,Male,0,Neutral
নাইস কাপল ,Actor,Male,0,Neutral
আমাদের দেশের পোলাপাইনদের কোন কাজকাম নাই মনে হয় একটা ফুটপাতের মেয়ের ফালতু একটা কথাকে এত ভাইরাল করার কি আছে মাদারচুদ এর নাটক মনে হয় চলতেচেনা তাই মিডিয়া সজাক হওয়ার জন্য এসব নাটক দেখবেন কাল আবার লাইভে এসে ক্ষমা চাইল কি আজব এসব জারজ সন্তান দের জন্য দেশের এই অবস্থা,Actor,Female,0,Sexual Aggression
হঠাৎ গর্ত থিকা বের হওনের মাজেজা কি? টাকায় টান পড়ছে নি?,Politician,Male,0,Neutral
ঐ যারা কমেন্ট করতেছেন ধীরে সূস্থে করেন।আর বানান যেনো ভুল না হয়। আপনার প্রতিটা কমেন্ট অনেক মূল্যবান।,Actor,Female,1,Neutral
কনজুরিং ৩ এর ভুত পাওয়া গেছে,Actor,Female,1,Harassment
রিয়েল হিরো,Actor,Male,0,Neutral
"যেভাবে চারদিকে দূর্ণীতি ও লুটপাট শুরু হয়েছে, তাতে আমরা আতংকে আছি, না জানি পুরো দেশটাই ধ্বংস হয়ে যায় ",Politician,Male,0,Violent Extremism
ওকে আই এস আই দিয়ে চোদানো দরকার।,Actor,Female,0,Harassment
"ধরেন আপনি মরুভূমির মাঝে কোন গভীর গর্তে পড়ে গেলেন, এখন আপনি কিভাবে বেঁচে ফিরবেন, মরুভূমিতে তো কোন মানুষজনের ঘর-বসতি নেই। তখন অবশ্যই আল্লাহকে স্মরণ করতে হবে, উনার কাছে সাহায্য কামনা করতে হবে। একমাত্র উনিই পারবেন আপনাকে বাঁচাতে। সুতরাং আল্লাহ তায়ালাকে অস্বীকার করার কোন যুক্তি নেই। আর যাদের পরকাল সম্পর্কে জ্ঞান নেই, দুনিয়াতে তাদের মতো মূর্খ ব্যক্তি আর নেই।",Actor,Female,2,Harassment
কত রে ঢং দেখাইলি রে পাদনি,Actor,Female,4,Harassment
এইডা কেডা? কত সুন্দর বাংলা ভাষা রে‌খে এক অদ্ভুত ভাষায় কথা ব‌লে। তাও আবার স্বাধীনতা দিব‌সে। এরাই দে‌শ ও জা‌তির কলঙ্ক।,Actor,Female,1,Neutral
"এটা কোন প্রকারের ক্ষমা চাওয়ার মধ্যে পড়ে জানিনা, “আমি যদি কোন ভুল করে থাকি” ওয়াও... I mean, you don’t even know about your mistake. ক্ষমা এমন ভাবে চাইতে হয় যাতে ক্ষমা পাওয়ার অনুভব থাকে।কারো বিশ্বাসে আঘাত মানে? এটা কি তোমার বিশ্বাসে আঘাত করেনি?সবার’ই মন ভাসনা কখন না কখনো সমাজে ফসকে পড়ে আর তোমার বেলায়ও সেটা হয়েছে।বলতে গেলে অনেক কিছু বলা সম্ভব, থাক বাদই দিলাম।পরি শেষে বলব এই ক্ষমার মালিক সয়ং আল্লাহ তিনিই মাত্র ক্ষমাকারি।ভবিষ্যতে এমনি হলে আমরা নিন্দা ছাড়া কিছুই উপহার দিতে পারবো না।",Actor,Female,0,Sexual Aggression
পাগল নাকি কোনো কাজ নাই,Social,Male,0,Harassment
আই মিন ইট দিয়ে সিকিউরিটি গ্লাস ভাংগার পর আপার অনুভুতি কি ছিলো?   প্লিজ আবার বইলেন না আপনার সর্বনাশ করেছে।  জেনে বুঝে লিভটুগেদার করেছেন।  প্লিজ গরিব ছেলেটার উপর রেপ কেইস দিবেন না। আই রিপিট এগেইন আপনার অনুভুতি কি?,Social,Female,2,Neutral
এটা দিয়ে কি TikTok করা যাবে........,Singer,Male,0,Neutral
ভাইরে ভাই !! আর নিতে পারতাসি না !! নিউস ফিড ভরা আপনার নিউজ আপা !! ,Actor,Female,0,Neutral
কুলঙ্গার মানব সন্তান নাস্তিকের শিরমনি স্রষ্টাকি বিশ্বাস না করা তোমাদের ব্যপার কিন্ত ইসলামকে আক্রমন করে মৌলবাদি তোমরাই তৈরী করার সহায়ক তাই তোমাদের মরনটাও অস্বাভাবিক হয় মৌলবাদিদের হাতে তাই কিনা ?,Social,Male,1,Hate Speech
ওর সৃষ্টকর্তা হয়তো এমন নিকৃষ্ট প্রানী যার নাম নিতে লজ্জাবোধ করে তাই অভিমানে একথা বলেছে। কিন্তু আমরা আমাদের সৃষ্টি কর্তার নাম নিতে কুন্ঠা বোধ করিনা বরং গর্বিত।,Social,Male,0,Hate Speech
তুমি দুনিয়াতে কিভাবে আসলে তা কি দেখেছো? তাহলে বাবাকে বাবা আর মাকে মা বলো কেন? সত্যিকথা কি তোমার দেখা না দেখার উপর পরকালের কোন পরিবর্তন হবেনা।নাস্তিকিনি,Actor,Female,0,Hate Speech
আমার বাড়ির সামনে দিয়ে গেছো...!!!,Sports,Female,0,Neutral
"বাহ! বাংলার ফেইসবুক সমাজ আরও একজনকে বাজে, অকথ্য, অশ্লীল ভাষায় গালিগালাজ করার মাধ্যমে ধর্ম এর পথে ফিরিয়ে নিয়ে এসেছে। আলহামদুলিল্লাহ।",Actor,Female,6,Sexual Aggression
"বাংলা সিনেমা বলতে একমাত্র কলকাতার সিনেমাই বুঝা যায়,  বাংলাদেশের সিনেমা তো সেই কবে ধ্বংস হয়ে গেছে ৷",Actor,Male,7,Neutral
প্রভুর নামে সুন্দরী কানিজ ফাতেমারে স্টক করিতে থাকেন। আমিন!,Social,Male,1,Hate Speech
নির্দেশের অপেক্ষায়-,Politician,Female,6,Neutral
